lng,lat,,,
134.556802,7.231975,,,
134.476833,7.543262,,,
135.831483,7.521,,,
134.286251,7.589738,,,
135.741019,7.564476,,,
136.195787,7.639214,,,
136.650555,7.513952,,,
134.58252,7.88869,,,
137.560091,7.51498,,,
138.014859,8.038166,,,
138.469627,8.914904,,,
138.924395,8.187642,,,
134.5824,7.5151,,,
134.58239,7.51511,,,
134.58238,7.51512,,,
134.58237,7.51499,,,
134.58236,7.514991,,,
134.58235,7.514992,,,
134.58234,7.514993,,,
134.58233,7.514994,,,
134.58232,7.514995,,,
134.58231,7.514996,,,
134.5823,7.514997,,,
134.58229,7.514998,,,
134.58228,7.514999,,,
134.58227,7.515,,,
134.58226,7.515001,,,
134.58225,7.515002,,,
134.58224,7.515003,,,
134.58223,7.515004,,,
134.58222,7.515005,,,
134.58221,7.515006,,,
134.5822,7.515007,,,
134.58219,7.515008,,,
134.58218,7.515009,,,
134.58217,7.51501,,,
134.58216,7.515011,,,
134.58215,7.515012,,,
134.58214,7.515013,,,
134.58213,7.515014,,,
134.58212,7.515015,,,
134.58211,7.515016,,,
134.5821,7.515017,,,
134.58209,7.515018,,,
134.58208,7.515019,,,
134.58207,7.51502,,,
134.58206,7.515021,,,
134.58205,7.515022,,,
134.58204,7.515023,,,
134.58203,7.515024,,,
134.58202,7.515025,,,
134.58201,7.515026,,,
134.582,7.515027,,,
134.58199,7.515028,,,
134.58198,7.515029,,,
134.58197,7.51503,,,
134.58196,7.515031,,,
134.58195,7.515032,,,
134.58194,7.515033,,,
134.58193,7.515034,,,
134.58192,7.515035,,,
134.58191,7.515036,,,
134.5819,7.515037,,,
134.58189,7.515038,,,
134.58188,7.515039,,,
134.58187,7.51504,,,
134.58186,7.515041,,,
134.58185,7.515042,,,
134.58184,7.515043,,,
134.58183,7.515044,,,
134.58182,7.515045,,,
134.58181,7.515046,,,
134.58181,7.515047,,,
134.58181,7.515048,,,
134.58181,7.515049,,,
134.58181,7.51505,,,
134.58181,7.515051,,,
134.58181,7.515052,,,
134.58181,7.515053,,,
134.58181,7.515054,,,
134.58181,7.515055,,,
134.58181,7.515056,,,
134.58181,7.515057,,,
134.58181,7.515058,,,
134.58181,7.515059,,,
134.58181,7.51506,,,
134.58181,7.515061,,,
134.58181,7.515062,,,
134.58181,7.515063,,,
134.58181,7.515064,,,
134.58181,7.515065,,,
134.58181,7.515066,,,
134.58181,7.515067,,,
134.58181,7.515068,,,
134.58181,7.515069,,,
134.58181,7.51507,,,
134.58181,7.515071,,,
134.58181,7.515072,,,
134.58181,7.515073,,,
134.58181,7.515074,,,
134.58181,7.515075,,,
134.58181,7.515076,,,
134.58181,7.515077,,,
134.58181,7.515078,,,
134.58181,7.515079,,,
134.58181,7.51508,,,
134.58181,7.515081,,,
134.58181,7.515082,,,
134.58181,7.515083,,,
134.58181,7.515084,,,
134.58181,7.515085,,,
134.58181,7.515086,,,
134.58181,7.515087,,,
134.58181,7.515088,,,
134.58181,7.515089,,,
134.58181,7.51509,,,
134.58181,7.515091,,,
134.58181,7.515092,,,
134.58181,7.515093,,,
134.58181,7.515094,,,
134.58181,7.515095,,,
134.58181,7.515096,,,
134.58181,7.515097,,,
134.58181,7.515098,,,
134.58181,7.515099,,,
134.58181,7.5151,,,
134.58181,7.515101,,,
134.58181,7.515102,,,
134.58181,7.515103,,,
134.58181,7.515104,,,
134.58181,7.515105,,,
134.58181,7.515106,,,
134.58181,7.515107,,,
134.58181,7.515108,,,
134.58181,7.515109,,,
134.58181,7.51511,,,
134.58181,7.515111,,,
134.58181,7.515112,,,
134.58181,7.515113,,,
134.58181,7.515114,,,
134.58181,7.515115,,,
134.58181,7.515116,,,
134.58181,7.515117,,,
134.58181,7.515118,,,
134.58181,7.515119,,,
134.58181,7.51512,,,
134.58181,7.515121,,,
134.58181,7.515122,,,
134.58181,7.515123,,,
134.58181,7.515124,,,
134.58181,7.515125,,,
134.58181,7.515126,,,
134.58181,7.515127,,,
134.58181,7.515128,,,
134.58181,7.515129,,,
134.58181,7.51513,,,
134.58181,7.515131,,,
134.58181,7.515132,,,
134.58181,7.515133,,,
134.58181,7.515134,,,
134.58181,7.515135,,,
134.58181,7.515136,,,
134.58181,7.515137,,,
134.58181,7.515138,,,
134.58181,7.515139,,,
134.58181,7.51514,,,
134.58181,7.515141,,,
134.58181,7.515142,,,
134.58181,7.515143,,,
134.58181,7.515144,,,
134.58181,7.515145,,,
134.58181,7.515146,,,
134.58181,7.515147,,,
134.58181,7.515148,,,
134.58181,7.515149,,,
134.58181,7.51515,,,
134.58181,7.515151,,,
134.58181,7.515152,,,
134.58181,7.515153,,,
134.58181,7.515154,,,
134.58181,7.515155,,,
134.58181,7.515156,,,
134.58181,7.515157,,,
134.58181,7.515158,,,
134.58181,7.515159,,,
134.58181,7.51516,,,
134.58181,7.515161,,,
134.58181,7.515162,,,
134.58181,7.515163,,,
134.58181,7.515164,,,
134.58181,7.515165,,,
134.58181,7.515166,,,
134.58181,7.515167,,,
134.58181,7.515168,,,
134.58181,7.515169,,,
134.58181,7.51517,,,
134.58181,7.515171,,,
134.58181,7.515172,,,
134.58181,7.515173,,,
134.58181,7.515174,,,
134.58181,7.515175,,,
134.58181,7.515176,,,
134.58181,7.515177,,,
134.58181,7.515178,,,
134.58181,7.515179,,,
134.58181,7.51518,,,
134.58181,7.515181,,,
134.58181,7.515182,,,
134.58181,7.515183,,,
134.58181,7.515184,,,
134.58181,7.515185,,,
134.58181,7.515186,,,
134.58181,7.515187,,,
134.58181,7.515188,,,
134.58181,7.515189,,,
134.58181,7.51519,,,
134.58181,7.515191,,,
134.58181,7.515192,,,
134.58181,7.515193,,,
134.58181,7.515194,,,
134.58181,7.515195,,,
134.58181,7.515196,,,
134.58181,7.515197,,,
134.58181,7.515198,,,
134.58181,7.515199,,,
134.58181,7.5152,,,
134.58181,7.515201,,,
134.58181,7.515202,,,
134.58181,7.515203,,,
134.58181,7.515204,,,
134.58181,7.515205,,,
134.58181,7.515206,,,
134.58181,7.515207,,,
134.58181,7.515208,,,
134.58181,7.515209,,,
134.58181,7.51521,,,
134.58181,7.515211,,,
134.58181,7.515212,,,
134.58181,7.515213,,,
134.58181,7.515214,,,
134.58181,7.515215,,,
134.58181,7.515216,,,
134.58181,7.515217,,,
134.58181,7.515218,,,
134.58181,7.515219,,,
134.58181,7.51522,,,
134.58181,7.515221,,,
134.58181,7.515222,,,
134.58181,7.515223,,,
134.58181,7.515224,,,
134.58181,7.515225,,,
134.58181,7.515226,,,
134.58181,7.515227,,,
134.58181,7.515228,,,
134.58181,7.515229,,,
134.58181,7.51523,,,
134.58181,7.515231,,,
134.58181,7.515232,,,
134.58181,7.515233,,,
134.58181,7.515234,,,
134.58181,7.515235,,,
134.58181,7.515236,,,
134.58181,7.515237,,,
134.58181,7.515238,,,
134.58181,7.515239,,,
134.58181,7.51524,,,
134.58181,7.515241,,,
134.58181,7.515242,,,
134.58181,7.515243,,,
134.58181,7.515244,,,
134.58181,7.515245,,,
134.58181,7.515246,,,
134.58181,7.515247,,,
134.58181,7.515248,,,
134.58181,7.515249,,,
134.58181,7.51525,,,
134.58181,7.515251,,,
134.58181,7.515252,,,
134.58181,7.515253,,,
134.58181,7.515254,,,
134.58181,7.515255,,,
134.58181,7.515256,,,
